STATEFP,CD115FP,AFFGEOID,GEOID,LSAD,CDSESSN,ALAND,AWATER,Perimeter
24,03,5001500US2403,2403,C2,115,788562242,252318226,612124.00028100000
18,06,5001500US1806,1806,C2,115,16075807854,106464022,666251.03870000000
53,10,5001500US5310,5310,C2,115,2141734118,234916125,407742.18983200000
25,01,5001500US2501,2501,C2,115,6086961487,129548620,494540.83738600000
42,01,5001500US4201,4201,C2,115,202017297,30946404,188791.41351400000
42,17,5001500US4217,4217,C2,115,4488179340,58691914,819461.98869700000
42,03,5001500US4203,4203,C2,115,9973312521,2116281822,735884.72938200000
45,04,5001500US4504,4504,C2,115,3365375010,44755518,391633.52660600000
51,01,5001500US5101,5101,C2,115,10908617587,1767347311,1147353.31321000000
51,04,5001500US5104,5104,C2,115,9432364465,297373648,750677.50012900000
53,01,5001500US5301,5301,C2,115,16019745919,1098044552,971972.84989900000
54,01,5001500US5401,5401,C2,115,16253925821,176283975,1205097.51981000000
54,03,5001500US5403,5403,C2,115,25241031983,191746267,1304031.14943000000
26,03,5001500US2603,2603,C2,115,6810456342,177813904,596126.15543500000
26,12,5001500US2612,2612,C2,115,1044251681,72039332,248386.13053900000
36,27,5001500US3627,3627,C2,115,10290366665,3222836917,617523.63340200000
41,03,5001500US4103,4103,C2,115,2782877286,82378516,378697.15977800000
17,18,5001500US1718,1718,C2,115,27235643868,383093290,1226228.60346000000
17,02,5001500US1702,1702,C2,115,2798960062,25367023,316216.68124600000
21,04,5001500US2104,2104,C2,115,11334568681,289884598,1039065.23195000000
47,08,5001500US4708,4708,C2,115,17738520597,387076278,911191.92606800000
17,06,5001500US1706,1706,C2,115,981281905,27250453,338667.56641700000
17,16,5001500US1716,1716,C2,115,20505805962,180883356,1051553.02041000000
17,12,5001500US1712,1712,C2,115,12971461658,462555006,837468.56053700000
05,01,5001500US0501,0501,C2,115,50035449740,1234801742,2191240.53585000000
06,39,5001500US0639,0639,C2,115,529385455,3117073,174225.19543500000
06,23,5001500US0623,0623,C2,115,25636753464,99798902,1274164.00221000000
06,52,5001500US0652,0652,C2,115,691530889,296833733,300183.67497200000
06,35,5001500US0635,0635,C2,115,437423307,309741,155006.70866400000
06,19,5001500US0619,0619,C2,115,2372249381,15213802,361014.35706200000
06,36,5001500US0636,0636,C2,115,15313274422,201717667,705236.35136000000
06,11,5001500US0611,0611,C2,115,1268414564,101723291,263114.00444800000
06,38,5001500US0638,0638,C2,115,262652711,3822553,129269.69406300000
06,03,5001500US0603,0603,C2,115,16016675422,456738339,1145534.52064000000
15,01,5001500US1501,1501,C2,115,541435682,456697044,154505.70573100000
36,08,5001500US3608,3608,C2,115,73603943,48116164,79171.57510200000
36,03,5001500US3603,3603,C2,115,660257279,301925010,230100.39123800000
36,10,5001500US3610,3610,C2,115,36382665,23226245,91784.45132190000
36,19,5001500US3619,3619,C2,115,20556863321,430599756,1005288.03120000000
01,05,5001500US0105,0105,C2,115,9526132610,459315160,647215.59848900000
01,06,5001500US0106,0106,C2,115,10802840847,176671228,988201.63790400000
34,10,5001500US3410,3410,C2,115,196407602,12464516,139964.66861300000
34,02,5001500US3402,3402,C2,115,5425976974,2032573880,523132.64119400000
08,04,5001500US0804,0804,C2,115,98683966052,438481210,1833105.76347000000
12,14,5001500US1214,1214,C2,115,714571197,234008132,207495.19265000000
12,15,5001500US1215,1215,C2,115,2816305893,215203162,379778.41974500000
12,08,5001500US1208,1208,C2,115,4536424864,1710655903,429156.43935900000
12,04,5001500US1204,1204,C2,115,4065702591,1017145271,567186.57485300000
37,02,5001500US3702,3702,C2,115,6988484962,95863414,746363.84926000000
37,10,5001500US3710,3710,C2,115,6708582979,107673789,560380.14129300000
48,28,5001500US4828,4828,C2,115,24291208331,299397432,1499108.06358000000
48,01,5001500US4801,4801,C2,115,20379651926,951774857,1101691.57796000000
48,16,5001500US4816,4816,C2,115,1841082535,3692186,200005.76490300000
48,11,5001500US4811,4811,C2,115,72086227511,572344028,2119237.36789000000
48,18,5001500US4818,4818,C2,115,609365837,4427671,307761.72567000000
48,10,5001500US4810,4810,C2,115,13135591810,185966591,1013686.80258000000
48,22,5001500US4822,4822,C2,115,2676692480,61221627,473322.45059500000
04,02,5001500US0402,0402,C2,115,20298521121,138380115,715288.18810500000
04,09,5001500US0409,0409,C2,115,426237566,2984352,182701.79347000000
49,03,5001500US4903,4903,C2,115,51990466713,458620703,1790740.28787000000
29,07,5001500US2907,2907,C2,115,16246575947,248417066,676349.32691100000
40,03,5001500US4003,4003,C2,115,88363168692,812730566,2001611.34101000000
24,04,5001500US2404,2404,C2,115,771431747,48192537,328208.62482000000
39,01,5001500US3901,3901,C2,115,1779276397,26627609,374458.49872600000
39,06,5001500US3906,3906,C2,115,18685899843,202614327,1255301.11484000000
39,13,5001500US3913,3913,C2,115,2315893758,70480190,591435.35564500000
39,12,5001500US3912,3912,C2,115,5884482145,76534852,714735.24863700000
20,04,5001500US2004,2004,C2,115,37076565850,188746571,1067592.04670000000
55,04,5001500US5504,5504,C2,115,332583505,2454601106,170214.59404700000
11,98,5001500US1198,1198,C4,115,158351639,18675956,64194.74267610000
46,00,5001500US4600,4600,C1,115,196345228871,3384471850,2049006.94481000000
09,03,5001500US0903,0903,C2,115,1218128785,68639679,276043.81840200000
09,02,5001500US0902,0902,C2,115,5149127806,297834069,411719.80517100000
01,02,5001500US0102,0102,C2,115,26269465210,304069410,1197804.67096000000
45,07,5001500US4507,4507,C2,115,13869661445,958845402,750487.35486600000
28,02,5001500US2802,2802,C2,115,40277934712,961395147,1852994.23282000000
17,05,5001500US1705,1705,C2,115,247684701,1857746,183099.95135500000
02,00,5001500US0200,0200,C1,115,1478588231566,277723861311,41974525.52330000000
42,02,5001500US4202,4202,C2,115,191878241,3607903,79587.40275810000
17,14,5001500US1714,1714,C2,115,4137539307,62705367,561783.88015400000
09,05,5001500US0905,0905,C2,115,3232512578,87623882,432626.88724200000
26,09,5001500US2609,2609,C2,115,475788210,13223182,185823.30264100000
42,18,5001500US4218,4218,C2,115,5368517141,17435303,622908.41649700000
36,22,5001500US3622,3622,C2,115,13150501326,386973109,874506.22910700000
22,04,5001500US2204,2204,C2,115,32209609166,1107495827,1563812.00504000000
36,01,5001500US3601,3601,C2,115,1683369812,3360069908,421955.82118300000
39,14,5001500US3914,3914,C2,115,5063536361,3730727841,490135.97516100000
12,26,5001500US1226,1226,C2,115,5657950451,7736018255,1245325.19860000000
47,09,5001500US4709,4709,C2,115,1252906121,53667284,280270.04438100000
16,02,5001500US1602,1602,C2,115,111951314468,1081555671,2071534.76309000000
45,05,5001500US4505,4505,C2,115,14259942806,265675132,907808.71990900000
18,01,5001500US1801,1801,C2,115,2996149051,625369032,294088.79184300000
25,04,5001500US2504,2504,C2,115,1730755717,86366275,368342.80779000000
41,01,5001500US4101,4101,C2,115,7786840316,770903089,624152.74314900000
13,14,5001500US1314,1314,C2,115,9384068854,51814494,618259.88399700000
22,01,5001500US2201,2201,C2,115,10439692168,14395561130,2367458.54323000000
23,01,5001500US2301,2301,C2,115,8511640854,4734127939,1556306.07031000000
06,08,5001500US0608,0608,C2,115,85126844954,450306547,1947144.26871000000
36,24,5001500US3624,3624,C2,115,6186354160,3271976203,438164.83300500000
39,04,5001500US3904,3904,C2,115,12081697622,123076694,1015750.37723000000
32,02,5001500US3202,3202,C2,115,144597298061,1316053447,1761773.20020000000
06,21,5001500US0621,0621,C2,115,17430139807,36086186,1062539.67760000000
06,12,5001500US0612,0612,C2,115,100995002,211552145,64619.37258390000
48,21,5001500US4821,4821,C2,115,15335167369,91820741,988562.89719000000
55,01,5001500US5501,5501,C2,115,4475162549,2524036038,415839.15603400000
28,01,5001500US2801,2801,C2,115,27383787577,409006297,1011070.57791000000
19,02,5001500US1902,1902,C2,115,31758222558,431617733,1070669.34283000000
